url,url_type,label,reason,detail
http://www.stjohn.k12.nd.us,school,SAINT JOHN HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.stanley.k12.nd.us,school,STANLEY HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.starkweather.k12.nd.us/,school,STARKWEATHER HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.sweetbriar17.com/,school,SWEET BRIAR SCHOOL,no_staff_content_found,2 candidate page(s) checked
http://www.thompson.k12.nd.us,school,THOMPSON HIGH SCHOOL,fetch_error:ConnectError,
http://www.tlm.k12.nd.us,school,TURTLE LAKE-MERCER HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.twinbuttes.k12.nd.us,school,TWIN BUTTES ELEMENTARY SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.underwoodschool.org/,school,UNDERWOOD HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.dbhs.united.k12.nd.us,school,DES LACS-BURLINGTON HIGH SCHOOL,no_staff_content_found,3 candidate page(s) checked
http://www.warwick.k12.nd.us/,school,WARWICK MIDDLE SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.washburn.k12.nd.us,school,WASHBURN HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.west-fargo.k12.nd.us/ecc,school,EARLY CHILDHOOD CENTER,http_404,
http://www.west-fargo.k12.nd.us/eastwood,school,EASTWOOD ELEMENTARY SCHOOL,http_404,
http://www.west-fargo.k12.nd.us/harwood,school,HARWOOD ELEMENTARY SCHOOL,http_404,
http://www.west-fargo.k12.nd.us/horace,school,HORACE ELEMENTARY SCHOOL,http_404,
http://www.west-fargo.k12.nd.us/cheney,school,CHENEY MIDDLE SCHOOL,http_404,
http://www.west-fargo.k12.nd.us/south,school,SOUTH ELEMENTARY SCHOOL,http_404,
http://www.west-fargo.k12.nd.us/wfhs,school,WEST FARGO HIGH SCHOOL,http_404,
http://www.west-fargo.k12.nd.us/westside,school,WESTSIDE ELEMENTARY SCHOOL,http_404,
http://www.west-fargo.k12.nd.us/berger,school,L E BERGER ELEMENTARY SCHOOL,http_404,
http://www.west-fargo.k12.nd.us/aurora,school,AURORA ELEMENTARY SCHOOL,http_404,
http://www.west-fargo.k12.nd.us/shs,school,WEST FARGO SHEYENNE HIGH SCHOOL,http_404,
http://www.west-fargo.k12.nd.us/osgood,school,OSGOOD ELEM SCHOOL,http_404,
http://www.west-fargo.k12.nd.us/,school,WEST FARGO MIDDLE VIRTUAL ACADEMY,no_staff_content_found,3 candidate page(s) checked
http://www.west-fargo.k12.nd.us/liberty,school,LIBERTY MIDDLE SCHOOL,http_404,
http://www.west-fargo.k12.nd.us/independence,school,INDEPENDENCE ELEMENTARY SCHOOL,http_404,
http://www.west-fargo.k12.nd.us/legacy,school,LEGACY ELEMENTARY SCHOOL,http_404,
http://www.west-fargo.k12.nd.us/brooksharbor,school,BROOKS HARBOR ELEMENTARY SCHOOL,http_404,
http://www.west-fargo.k12.nd.us/willowpark,school,WILLOW PARK ELEMENTARY SCHOOL,http_404,
http://www.west-fargo.k12.nd.us/deercreek,school,DEER CREEK ELEMENTARY SCHOOL,http_404,
http://www.west-fargo.k12.nd.us/heritage,school,HERITAGE MIDDLE SCHOOL,http_404,
http://www.west-fargo.k12.nd.us/chs,school,WEST FARGO COMMUNITY HIGH SCHOOL,http_404,
http://www.westhope.k12.nd.us/,school,WESTHOPE HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.white-shield.k12.nd.us/,school,WHITE SHIELD HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.wing.k12.nd.us,school,WING HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.wishek.k12.nd.us,school,WISHEK HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.wyndmere.k12.nd.us,school,WYNDMERE HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.mcclusky.k12.nd.us,school,MCCLUSKY-GOODRICH HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://sites.google.com/valley-edinburgk12.com/valleyedinburgschools/home,district,VALLEY-EDINBURG 118,no_staff_content_found,1 candidate page(s) checked
http://www.hankinsonschool.com/,district,HANKINSON 8,no_staff_content_found,2 candidate page(s) checked
http://www.gospoilers.org,district,GRAFTON 18,no_staff_content_found,1 candidate page(s) checked
http://marmarthschool12.com,district,MARMARTH 12,fetch_error:ConnectError,
http://www.nd.gov,district,MARMOT SCHOOLS,no_staff_content_found,1 candidate page(s) checked
